3Q2023-EXCEL,,,,,
DMF#,STATUS,TYPE,SUBMIT DATE,HOLDER,SUBJECT
4681,A,III,9/17/1982,BAXTER HEALTHCARE CORP,PRODUCTION OF PARENTERAL INJECTIONS IN GLASS CONTAINERS
4682,I,II,10/15/1982,ORION CORP LTD,CHLORTHALIDONE USP XX AND BP 80
4683,I,II,10/18/1982,KV PHARMACEUTICAL CO,PHENYLPROPANOLAMINE HCl/CHLORPHENIRAMINE MALEATE S.R.(B.F. ASCHER &CO)
4684,A,II,10/13/1982,BAYER AG,ESTRADIOL
4685,I,II,10/14/1982,RADPHARM INC,GALLIUM CHLORIDE GA-67 RADIOCHEMICAL SOLUTION
4686,I,II,10/15/1982,ORGANICHEM CORP,DIATRIZOATE MEGLUMINE USP
4687,A,II,10/14/1982,SUMITOMO CHEMICAL CO LTD,DISOPYRAMIDE PHOSPHATE USP 
4688,A,II,10/16/1982,KONGO CHEMICAL CO LTD,DEXCHLORPHENIRAMINE MALEATE
4689,I,II,9/29/1982,CAMBREX PROFARMACO MILANO SRL,ECONOZOLE NITRATE
4690,A,II,10/13/1982,BAYER AG,ESTRADIOL-3-BENZOATE
4691,A,II,10/19/1982,DISHMAN NETHERLANDS BV,DIHYDROTACHYSTEROL
4692,I,II,10/22/1982,HOSPIRA BOULDER INC,SODIUM NITROPRUSSIDE
4693,I,II,10/13/1982,SANOFI SYNTHELABO INC,HYDROXYCHLOROQUINE SULFATE
4694,I,II,10/14/1982,INDUSTRIA CHEMICA PRODOTTI FRANCIS SPA,TRIMETHOBENZAMIDE HCL USP
4695,I,II,10/14/1982,SCHERING AG,TESTOSTERONE
4696,I,II,10/18/1982,INDUSTRIA CHIMICA PROFARMACO SPA,2 BROMOACETAMIDO-5 CHLORO-2' FLUOROBENZOPHENONE
4697,A,II,10/27/1982,ROQUETTE FRERES,DEXTROSE MONOHYDRATE USP GRADE (LYCADEX® PF)
4698,I,II,10/11/1982,HEXACHIMIE SA,2-CHLORO NICOTINIC ACID (INTERMEDIATE)
4699,I,II,10/18/1982,GC SCHERER CORP,"MANUFACTURING SITE, FACILITIES, PERSONNEL, AND GENERAL OPERATING PROCEDURES OF HARDSHELL CAPS IN SPRINGVILLE, UTAH."
4700,A,V,11/4/1982,ELI LILLY AND CO,"PROCEDURES FOR STERILE OPERATIONS IN INDIANAPOLIS, INDIANA"
4701,I,II,11/1/1982,DESTILERIAS ADRIAN AND KLEIN SA,TERPIN HYDRATE USP XX
4702,I,II,11/3/1982,OY STAR AB,"FACILITIES, PERSONNEL AND GENERAL OPERATING PROCEDURES"
4703,I,II,10/22/1982,ER SQUIBB AND SONS INC,FLUPHENAZINE HYDROCHLORIDE
4704,I,II,10/25/1982,SCHERING AG,METHYLTESTOSTERONE
4705,I,II,11/1/1982,KV PHARMACEUTICAL CO,APTROPINE SULFATE CAPSULES
4706,I,II,11/2/1982,DIPHARMA FRANCIS SRL,TOLAZAMIDE 
4707,I,II,10/26/1982,SOCIETA ITALIANA CORTICOSTEROIDI SPA,BETAMETHASONE ACETATE
4708,I,I,11/9/1982,JAMES ROBINSON GMBH,"FACILITIES, PERSONNEL, GENERAL OPERATING PROCEDURES-DIEBURG W GERMANY"
4709,I,II,11/12/1982,DIOSYNTH BV,NORETHYNODREL
4710,A,II,10/29/1982,YANGZHOU PHARMACEUTICAL CO LTD,HYDROCORTISONE BASE & ACETATE
4711,I,II,11/16/1982,MEDIMPEX NORTH AMERICA INC,"VINCRISTINE S04 FOR INJECT, USP 1mg & 5mg"
4712,A,II,10/26/1982,TEVA PHARMACEUTICAL INDUSTRIES LTD,TRIAMCINOLONE ACETONIDE
4713,I,II,11/8/1982,DURAMED PHARMACEUTICALS INC,"FACILITIES, PERSONNEL AND GENERAL OPERATING PROCEDURES"
4714,I,II,11/10/1982,FOURTH PHARMACEUTICAL WORKS,"SYNTHESIS OF PHENOBARBITAL, BULK FORM"
4715,I,II,10/22/1982,TENCO ASSEMBLIES INC,"MANUFACTURING SITE, FACILITIES, PERSONNEL, AND GENERAL OPERATING PROCEDURES."
4716,I,II,11/15/1982,CORDEN PHARMA BERGAMO SPA,IMIPRAMINE HCL USP
4717,I,II,11/10/1982,MALLINCKRODT SPECIALTY CHEMICALS CO,CODACET-60 (TM)
4718,I,II,11/10/1982,SOCIETA ITALIANA CORTICOSTEROIDI SPA,TRIAMCINOLONE DIACETATE
4719,A,II,11/10/1982,TEVA PHARMACEUTICAL INDUSTRIES LTD,CARBAMAZEPINE USP
4720,I,II,11/15/1982,PHARMACIA AND UPJOHN,"PERSONNEL, FACILITIES & GENERAL OPERATING PROCEDURES"
4721,I,IV,11/19/1982,CAPSULE TECHNOLOGY INTERNATIONAL LTD,MANUFACTURING OF EMPTY HARD GELATIN CAPSULES
4722,I,II,11/12/1982,SANDOZ LTD PHARMACEUTICAL DIV CHEMICAL DEVELOPMENT,"VEPESID AMPULS, 100mg./5ml."
4723,I,II,10/25/1982,LABORATOIRE CHOAY,"FACILITIES & GEN OP PROC.,MANUFACTURE OF PARENTERAL PRODUCTS"
4724,I,II,9/9/1982,ASTA WERKE AKTIENGESELLSCHAFT,CYCLOPHOSPHAMIDE TABLETS
4725,I,II,11/23/1982,SALK INSTITUTE,HUMAN PANCREATIC GROWTH RELEASE FACTOR (1-40)-OH -- HP GRF (1-40)-OH
4726,I,II,11/17/1982,SIGMA F AND D DIV LTD,TRIMETHOPRIM
4727,I,II,12/8/1982,SALK INSTITUTE,SOMATOCRININ-GROWTH HORMONE RELEASING FACTOR
4728,I,II,12/1/1982,3M PHARMACEUTICALS,"PERSONNEL,FACILITIES AND GEN.OPERATING PROCEDURES DECATUR ALABAMA"
4729,I,II,12/2/1982,SIGMA F AND D DIV LTD,L-ORNITHINE HCL
4730,A,II,12/7/1982,YUKI GOSEI KOGYO CO LTD,AMINOACETIC ACID
4731,I,II,11/30/1982,ORGANICHEM CORP,DIATRIZOATE SODIUM U.S.R.
4732,I,I,11/17/1982,VOCATIONAL INDUSTRIES OF SOMERSET AREA,FACILITIES AND GENERAL OPERATING PROCEDURES
4733,I,III,9/10/1982,BCL CANADA INC,SARAN COATED REGENERATED CELLULOSE FILMS
4734,I,II,12/1/1982,LEIRAS PHARMACEUTICALS,TAMOXIFEN CITRATE TABLETS
4735,I,II,11/29/1982,COSMA SPA,TOLAZAMIDE
4736,I,II,11/19/1982,SIGMA F AND D DIV LTD,D-GLUCONIC ACID HEMI CALCIUM SALT
4737,I,II,12/13/1982,ADAMHA NIDA,PILOT PLANT SCALE SYNTHESIS AND PURIFICATION OF CANNABIDIOL
4738,I,II,11/29/1982,KV PHARMACEUTICAL CO,TROCINATE 100MG & 400MG
4739,I,II,12/7/1982,PHARMACIA AND UPJOHN,"TOLBUTAMIDE, USP AND TOLBUTAMIDE, USP MILLED"
4740,I,II,10/19/1982,NV ORGANON,DANAZOL
4741,A,II,11/15/1982,CORDEN PHARMA BERGAMO SPA,DOXYLAMINE SUCCINATE 
4742,I,II,11/29/1982,COSMA SPA,ZOMPIRAC SODIUM
4743,I,II,11/18/1982,BASF HEALTH AND NUTRITION AS,SODIUM ASCORBATE
4744,I,I,11/10/1982,LABORATOR MAG VIA MILANO,FACILITIES AND GENERAL OPERATING PROCEDURES
4745,I,II,11/30/1982,SCHERING AG,HYDROCORTISONE ACETATE
4746,I,II,12/9/1982,DIOSYNTH BV,BEPRIDIL HYDROCHLORIDE
4747,I,III,12/16/1982,SPARTECH PLASTICS,THERMOPLASTIC SHEET MATERIALS IN THE GTB-BTG SERIES
4748,I,II,11/29/1982,COSMA SPA,TERBUTALINE SULPHATE
4749,I,II,11/11/1982,MALLINCKRODT INC,IOTHALAMIC ACID USP 
4750,I,II,12/6/1982,BLASCHIM SPA,NAPROXEN
4751,I,II,1/4/1983,DIOSYNTH BV,FENTANYL CITRATE
4752,I,II,1/6/1983,PENCO OF LYNDHURST INC,"FENTANYL CITRATE, BULK FORM"
4753,I,II,1/4/1983,BIOSEARCH LABORATORIES LTD,VINYPYRROLIDONE CARRIERS
4754,I,IV,1/11/1983,FMC CORP,"CELLULOSE ACETATE AS ANALYZED & DISTRIBUTED FROM NEWARK, DEL. FACILITY"
4755,I,II,1/11/1983,LUDWIG HEUMANN AND CO GMBH,TRIMETHOPRIM
4756,I,II,12/10/1982,SOCIETE FRANCAISE D'ORGANO,DACARBAZINE
4757,I,II,11/30/1982,BAYER SCHERING PHARMA AG,HYDROCORTISONE
4758,I,II,12/20/1982,GUERBET,IOXAGLIC ACID
4759,I,I,9/27/1982,CARIBBEAN BIORESEARCH INC,"MANUFACTURING SITE, FACILITIES, PERSONNEL, AND GENERAL OPERATING PROCEDURES IN SAN GERMAN, PUERTO RICO."
4760,I,II,10/18/1982,KV PHARMACEUTICAL CO,FLURBIPROFEN 200MG CAPS
4761,I,II,12/17/1982,SICOR SPA,FLUOROMETHOLONE
4762,I,II,12/14/1982,SYLATEC,TRIVEMIL
4763,I,II,1/10/1983,UCB PHARMACEUTICALS INC,FACILITIES AND GENERAL OPERATING PROCEDURES
4764,I,II,1/6/1983,PLANTEX LTD CHEMICAL AND PHARMACEUTICAL WORKS,LAURYLMETHACRYLATE-ACRYLIC ACID COPOLYMER (POLYMER TP-1980)
4765,I,II,12/20/1982,INDUSTRIE CHIMICHE FARMACEUTICHE ITALIANE SPA,DISOPYRAMIDE PHOSPHATE AND DISOPYRAMIDE BASE
4766,I,II,12/10/1982,CK FINE CHEMICALS INC,BETHANECHOL CHLORIDE
4767,I,II,11/5/1982,RP SCHERER CORP,FACILITIES AND GENERAL OPERATING PROCEDURES
4768,I,II,12/16/1982,GRUPPO LEPETIT SPA,TERFENADINE
4769,I,I,10/14/1982,SCHERING AG,4-DIMETHYLAMINO PYRIDINE
4770,I,II,1/10/1983,UCB PHARMACEUTICALS INC,CARBETAPENTANE TANNATE
4771,I,II,12/20/1982,INDUSTRIA CHIMICA MILANESE SPA,OXPRENOLOL HcL
4772,A,II,12/7/1982,YUKI GOSEI KOGYO CO LTD,ISONIAZID BULK FORM
4773,I,II,1/28/1983,ABBOTT LABORATORIES PHARMACEUTICAL PRODUCTS DIV,"FACILS, PERSONNEL & GEN OPER PROCEDS FOR THE MURINE CO. FACILS."
4774,I,II,12/22/1982,SOCIETA ITALIANA CORTICOSTEROIDI SPA,FLUNISOLIDE HEMIHYDRATE
4775,I,II,12/6/1982,PLANTEX LTD CHEMICAL AND PHARMACEUTICAL WORKS,PILOCARPINE (SOLUTION IN ACETONE)
4776,I,II,10/14/1982,SCHERING AG,TESTOSTERONE PROPIONATE
4777,I,II,12/14/1982,BRIDGE CHEMICALS,DIETHYLCARBAMAZINE CITRATE
4778,A,II,1/21/1983,PCAS,CLONIDINE HYDROCHLORIDE 
4779,I,II,12/29/1982,GANES CHEMICALS INC PENNSVILLE DIV,FACILITIES AND GENERAL OPERATING PROCEDURES
4780,I,IV,11/23/1982,ICI AMERICAS INC,"ARLACEL 481 &ARLACEL 986 MNFG ATLAS CHEMIE IN ESSEN,GERMANY"
4781,I,II,1/11/1983,PROCOS SPA,"PERSONNEL, FACILS AND GEN OPERATING PROCEDURES"
4782,I,II,12/27/1982,ABBOTT LABORATORIES PHARMACEUTICAL PRODUCTS DIV,ETHCHLORVYNOL
4783,I,II,11/5/1982,H REISMAN CORP,"PSEUDOEPHEDRINE HYDROCHLORIDE AS PROCESSED IN THE ORANGE, NJ FACILITY"
4784,I,II,12/6/1982,SANDOZ LTD PHARMACEUTICAL DIV CHEMICAL DEVELOPMENT,GUANFACINE HCL
4785,I,II,1/21/1983,OY STAR AB,DISOPYRAMIDE PHOSPHATE
4786,I,II,12/15/1982,SCHERING AG,PREDNISOLONE 21-HEMISUCCINATE
4787,I,II,12/7/1982,YUKI GOSEI KOGYO CO LTD,NIACINAMIDE
4788,I,II,1/20/1983,SMITH KLINE AND FRENCH LABORATORIES,TRIFLUOPERAZINE HYDROCHLORIDE
4789,A,II,1/6/1983,SANDOZ GMBH,LEVOTHYROXINE SODIUM
4790,I,II,11/26/1982,EVONIK TECHNOCHEMIE GMBH,LORMETAZEPAM (MACRO)
4791,I,II,1/26/1983,BRIDGE CHEMICALS,TRIFLUOPERAZINE DIHYDROCHLORIDE & HCL
4792,I,II,1/21/1983,OY STAR AB,METHOXSALEN
4793,I,II,1/12/1983,LEIRAS PHARMACEUTICALS,"TAMOXIFEN CITRATE, BULK FORM"
4794,I,II,2/1/1983,CLARIANT CORP,"HOECHST WAX E PHARMA, BULK DRUG SUBSTANCE"
4795,I,II,2/9/1983,TECHNOCHEMIE GMBH,INTERMEDIATE FOR LORAZEPAM (WY 4088)
4796,A,II,1/6/1983,PHARMACIA AND UPJOHN SUB PFIZER INC,METHYLPREDNISOLONE USP KALAMAZOO
4797,I,II,1/31/1983,DAIWA PHARMACEUTICAL CO LTD,CHLORZOXAZONE USP
4798,A,II,12/22/1982,OLON SPA,AMILORIDE HYDROCHLORIDE
4799,I,II,11/22/1982,INDUSTRIA CHIMICA MILANESE SPA,DEXBROMPHENIRAMINE MALEATE USP. XX
4800,I,I,1/20/1983,HOUBA INC,"METHODS,FACILS & CONTRLS-FOR PRODUCT. OF BULK AL (ACT.LIPIDS)CULVER,IN"
4801,I,III,1/31/1983,3M PHARMACEUTICALS,DRUG PROTECTIVE CAPS
4802,A,II,1/24/1983,RECORDATI INDUSTRIA CHIMICA E FARMACEUTICA SPA,VERAPAMIL HYDROCHLORIDE
4803,I,II,12/29/1982,TEVA PHARMACEUTICAL INDUSTRIES LTD,PILOPEX 2 EYE DROPS
4804,A,III,12/20/1982,PROMENS PACKAGING LTD,PLASTIC BOTTLES AND CLOSURES
4805,I,II,1/14/1983,BAYER CORP,ACETYLSALICYLIC ACID (ASPIRIN)
4806,I,III,1/17/1983,BALL CORP,"BALL PLASTIC 656(TM) COEXTRUD. PACKAG. MTRLS-PRODUCED-EVANSVILLE, IND."
4807,I,II,1/31/1983,3M PHARMACEUTICALS,"POLYURETHANE FOAM CIRCLES AS MAMUF. IN THE ST. PAUL, MINN. FACILITIES"
4808,I,II,2/18/1983,INDENA GRUPPO INVERNI DELLA BEFFA,DESERPIDINE USP
4809,I,II,11/16/1982,FARMABOIS,MEDROXYPROGESTERONE ACETATE USPXX
4810,I,III,2/2/1983,BALL CORP,"BALL SARAN COEXTRUSIONS AS PRODUCED IN THE EVANSVILLE, IN FACILITY"
4811,I,II,1/21/1983,ORGAMOL SA,ORPHENADRINE CITRATE AND ORPHENADRINE HCL.
4812,I,IV,1/31/1983,3M PHARMACEUTICALS,TAPE LAMINATE PATCHS
4813,A,II,1/6/1983,PHARMACIA AND UPJOHN CO WHOLLY OWNED SUB PFIZER INC,METHYLPREDNISOLONE ACETATE USP
4814,I,II,12/20/1982,NIPPON KAYAKU CO LTD,"L-ALANINE, L-METHIONINE & GLYCINE"
4815,I,II,8/24/1982,IRE NATIONAL INSTITUTE RADIOISOTOPES,XENON -133 GAS
4816,I,II,12/22/1982,BAYER CORP,NIMODIPINE CAPS 10MG (bay e 9736)
4817,I,II,2/22/1983,OMNICHEM NV,VERAPAMIL HCL
4818,I,II,1/12/1983,MEDI PHYSICS INC,"1231-M-123 OR 1231-d,1-N-ISOPROPYL-P-IODOAMPHETAMINE HYDROCHLORIDE"
4819,I,II,12/6/1982,CAMBREX PROFARMACO MILANO SRL,METOPROLOL TARTRATE
4820,I,II,1/17/1983,OTSUKA PHARMACEUTICAL CO LTD,"PROCATEROL, AEROSOL FORMULATION PRODUCED IN TOKUSHIMA FACTORY"
4821,I,II,9/17/1982,IRE NATIONAL INSTITUTE RADIOISOTOPES,MOLYBDENUM-99
4822,I,II,12/20/1982,NIPPON KAYAKU CO LTD,"L-THREONINE, L-TRYTOPHAN & L-ISOLEUCINE"
4823,I,III,3/2/1983,SIFAVITOR SRL,"MANUFACTURING SITE, FACILITIES, PERSONEL & GENERAL OPERATING PROCEDURES IN MILAN, ITALY"
4824,I,II,3/3/1983,PLANTEX LTD CHEMICAL AND PHARMACEUTICAL WORKS,CISPLATIN
4825,I,III,3/8/1983,3M PHARMACEUTICALS,HEAT SEALABLE MICROPOROUS TAPE NO. 1781
4826,I,II,2/25/1983,BECKMAN INSTRUMENTS INC DIV SMITHKLINE BECKMAN CORP,SYNTHETIC HUMAN PROINSULIN C-PEPTIDE
4827,A,II,3/3/1983,REGIS TECHNOLOGIES INC,4-AMINOPYRIDINE 
4828,I,II,2/15/1983,ORGAMOL SA,METHOCARBAMOL
4829,I,II,1/26/1983,SIGMA F AND D DIV LTD,"l ETHYL-3-(3-DIMETHYLAMINOPROPYL) CARBODIIMIDE HCl ST. LOUIS,MO PLANT"
4830,I,II,1/28/1983,KNOLL AG LUDWIGSHAFEN,PROPRANOLOL HCL
4831,I,II,12/15/1982,SCHERING AG,PREDNISOLONE
4832,I,II,3/22/1983,MERCK SHARP AND DOHME RESEARCH LABORATORIES DIV MERCK AND CO INC,"MANUFACTURING SITE, FACILITIES, PERSONNEL, AND GENERAL OPERATING PROCEDURES IN WILSON, NORTH CAROLINA."
4833,I,II,1/11/1983,GANES CHEMICALS INC PENNSVILLE DIV,"GENERAL OPERATING PROCEDS FOR PENNSVILLE, NJ FACILITY"
4834,I,II,2/24/1983,ERREGIERRE SPA,CHENO DESOXYCHOLIC ACID
4835,I,II,2/25/1983,SCM CORP ,ENCAPSULATED POTASSIUM CHLORIDE DURKOTE KCL 150-92
4836,I,II,3/4/1983,SIGMA F AND D DIV LTD,"ANTIPYRINE AS PRODUCED IN THE ST. LOUIS, MISSOURI PLANT"
4837,A,III,3/10/1983,BERRY GLOBAL,ARGUS-LOC & ULTRA-LOC CHILD-RESISTANT CLOSURES
4838,I,II,12/15/1982,DOW CHEMICAL CO,"MANUFACTURING SITE, FACILITIES, PERSONNEL, AND GENERAL OPERATING PROCEDURES IN MIDLAND, MICHIGAN."
4839,A,II,3/11/1983,SPECGX LLC,CODEINE PHOSPHATE
4840,I,III,1/25/1983,PANTASOTE INC,PVC COMPD AND/OR FILM: 1. 4575 PVC CMPD AND/OR FILM
4841,I,III,9/10/1982,UNION CARBIDE CORP,BAKELITE BRAND POLYETHYLENE (GRSN SERIES):1. GRSN-7144 NATURAL 7
4842,I,II,3/7/1983,SIGMA F AND D DIV LTD,ADENOSINE 5' TRIPHOSPHATE (ATP) DISODIUM SALT
4843,I,II,1/7/1983,SCHERING AG,MICRONIZING LORMETAZEPAM
4844,I,II,1/11/1983,CIS US INC,"MANUAFACTURING SITE, FACILITIES, PERSONNEL, AND GENERAL OPERATING PROCEDURES IN DEANGELO DRIVE."
4845,I,II,1/4/1983,DIOSYNTH BV,PROTEIN HYDROLYSATE
4846,I,II,3/11/1983,SANOFI AVENTIS DEUTSCHLAND GMBH,"HUMAN INSULIN-SEMISYNTHETIC, BULK MATRLS & FINISHED DOS. FORM"
4847,I,II,3/7/1983,NOBEL KEMI AB,"N,N-BIS (2,3-DIHYDROXYPROPYL)-5-AMINOISOPHTALAMIDE OR (5-AIPA-DIAMIDE)"
4848,I,II,2/17/1983,AMERICAN CHEMICAL INDUSTRIAL CORP,"MANUFACTURING SITE, FACILITIES, PERSONNEL, AND GENERAL OPERATING PROCEDURES IN RICHMOND, CALIFORNIA."
4849,I,II,3/8/1983,SCHERING AG,L-5-HYDROXYTRYPTOPHAN
4850,I,III,3/11/1983,PERSTORP CHEMICALS AB,UREA MOLDING CMPDS
4851,I,IV,12/7/1982,ARCHER DANIELS MIDLAND CO,SOYBEAN OIL
4852,I,II,3/17/1983,LANHAM PACKAGING,"FACILS AND GENERAL OPERATING PROCEDS-AT 20TH & L ST., S.W., WASH, DC"
4853,A,III,3/28/1983,TOTALENERGIES PETROCHEMICALS & REFINING USA INC, POLYSTYRENE MANUFACTURE
4854,I,II,3/7/1983,BOFORS AB,"N,N'-BIS (2,3-DIHYDROXYPROPYL)-5-NITROISOPHTALAMIDE"
4855,I,II,3/9/1983,SHOWA DENKO KK,CHENODEOXYCHOLIC ACID-PROCEDS FOR PRODUCTION AT THE KAWASAKI WORKS
4856,I,II,2/17/1983,PHARMACIA AND UPJOHN,TRANEXAMIC ACID
4857,I,II,2/28/1983,BECTON DICKINSON MONOCLONAL CENTER INC,"MANUFACTURING SITE, FACILITIES, PERSONNEL, AND GENERAL OPERATING PROCEDURES IN MOUNTAIN VIEW, CALIFORNIA."
4858,I,V,3/11/1983,SANOFI AVENTIS DEUTSCHLAND GMBH,PRECLINICAL STUDIES USING HUMAN INSULIN SEMISYNTHETIC (HOE 21 PH INJ)
4859,I,II,4/8/1983,CILAG CHEMIE AG,BEPRIDIL HCL
4860,I,II,4/7/1983,SIGMA F AND D DIV LTD,SELENO-DL-METHIONINE AS SUPPLIED BY SIGMA (ISRAEL)CHEMICAL COMPANY
4861,I,II,1/25/1983,GANES CHEMICALS INC PENNSVILLE DIV,1-EPHEDRINE SULFATE
4862,I,II,3/30/1983,PLANTEX LTD CHEMICAL AND PHARMACEUTICAL WORKS,VINCRISTINE SULFATE USP
4863,I,II,3/31/1983,ASTRA RESEARCH LABORATORIES,OMEPRAZOLE CAPSULES
4864,I,III,3/23/1983,INEOS FILMS ITALIA SRI,PVC FILM FOR PHARMACEUTICAL PACKAGING
4865,I,II,12/30/1982,MEDIMPEX NORTH AMERICA INC,HEPARIN SODIUM
4866,I,II,3/8/1983,PEBOC LTD,GUAIFENESIN USP
4867,I,III,3/21/1983,TECHNICAL COATINGS CO SUB BENJAMIN MOORE AND CO,BIOEQUIVALANCE STUDY ON THREE CLOMIPHENE CITRATE PRODUCTS
4868,I,III,3/16/1983,SPARTECH PLASTICS,"THERMOPLASTIC SHEET TYPE RTB,BTR SERIES PRODUCED AT MEDFORD,MASS FACIL"
4869,I,II,11/18/1982,CELL PRODUCTS INC,"MANUFACTURING SITE, FACILITIES, PERSONNEL,AND GENERAL OPERATING IN NEW BRUNSWICK, NEW JERSEY."
4870,I,II,12/30/1982,MEDIMPEX NORTHAMERICA INC,ERGONOVINE MALEATE
4871,A,II,3/14/1983,TEVA PHARMACEUTICAL INDUSTRIES LTD,BECLOMETHASONE DIPROPIONATE
4872,I,II,3/18/1983,ABBOTT LABORATORIES PHARMACEUTICAL PRODUCTS DIV,SODIUM BUTABARBITAL
4873,I,IV,3/28/1983,MONA INDUSTRIES INC,MONAMID 150-LW
4874,I,III,3/16/1983,SPARTECH PLASTICS,"THERMOPLASTIC SHEETS TYPE FTB,BRT SERIES MNFG MEDFORD,MASS.FACILITY"
4875,I,II,3/21/1983,TEMMLER WERKE VEREINIGTE CHEMISCHE FABRIKEN,"KETOPROFEN CR CAPSULES 200&300MG, MNFG IN MARBURG,WEST GERMANY"
4876,I,II,2/24/1983,MEDIMPEX NORTH AMERICA INC,TRIMETHOPRIM
4877,A,II,3/26/1983,LUNDBECK PHARMACEUTICALS ITALY SPA,METOCLOPRAMIDE HCL MONOHYDRATE
4878,I,II,2/21/1983,DINAMITE DIPHARMA SPA,NAPROXEN USP XX BP 80
4879,I,I,2/28/1983,BIOREX LABORATORIES INC,"MANFACTURING SITE, FACILITIES, PERSONNEL, AND GENERAL OPERATING PROCEDURES IN LONDON ON QUEENSLAND ROAD."
4880,I,II,3/16/1983,AAI PHARMA LLC,PROPOXYPHENE NAPSYLATE
4881,I,II,10/14/1983,PFIZER LTD,TIOCONAZOLE
4882,I,II,2/1/1983,ANTIBIOTICOS SPA,CHEM. & PHARMACY OF ANTIBIOTIC LM 427 AS IT WILL BE REFERENCED BY INDS
4883,I,II,4/4/1983,PLANTEX LTD CHEMICAL AND PHARMACEUTICAL WORKS,VINBLASTINE SO4 USP
4884,A,II,3/15/1983,SPECGX LLC,HYDROCODONE BITARTRATE USP CRYSTALS
4885,I,II,3/1/1983,BIOREX LABORATORIES INC,CICLOXOLONE SODIUM
4886,I,II,3/16/1983,AAI PHARMA LLC,PROPOXYPHENE HCL
4887,I,II,3/23/1983,EASTMAN KODAK CO,13-Cis-RETINOIC ACID (ISOTRETINOIN)
4888,I,III,3/16/1983,SPARTECH PLASTICS,"THERMOPLASTIC SHEET IN MTB-BTM SERIES MNFG IN MEDFORD, MASS FACILITIES"
4889,A,III,3/16/1983,CONSTANTIA PATZ GES MBH,ALUMINUM FOIL PACKAGING MATERIALS FOR DRUG PRODUCTS 
4890,I,II,3/31/1983,JANSSEN PHARMACEUTICA NV,"DROPERIDOL,CODE#R4749,MNFG IN BELGIUM AND PUERTO RICO FACILITIES"
4891,I,II,3/30/1983,ASTA WERKE AKTIENGESELLSCHAFT,CORMELIAN COATED TABLETS
4892,I,II,12/27/1982,LEDERLE LABORATORIES DIV AMERICAN CYANAMID CO,"FENBUFEN MNFG BY CYANAMID OF GREAT BRITAIN, LIMITED"
4893,I,II,8/4/1982,NORDION INTERNATIONAL INC,"XENON-127 (PROD VANCOUVER, BRITISH COLUMBIA) ORIG SUBMITTED TO DMF4115"
4894,I,II,12/20/1982,SPRET MAUCHANT LABORATORIES,BAMIFYLLINE (TRENTADIL)
4895,I,II,5/9/1983,TROPONWERKE GMBH CO KG,ETOFENAMATE
4896,I,II,5/10/1983,OMNICHEM NV,PROPRANOLOL HCL
4897,I,II,5/10/1983,DINAMITE DIPHARMA SPA,"MANUFACTURING SITE, FACILITIES, PERSONNEL, AND GENERAL OPERATING PROCEDURES."
4898,I,II,4/2/1983,SUMIKA FINE CHEMICALS CO LTD,FOLIC ACID
4899,I,III,3/16/1983,SPARTECH PLASTICS,"COMPOSITE THERMOPLASTIC SHEETS OF PTR,RTP SERIES,MNFG IN MEDFORD, MASS"
4900,I,III,7/31/1984,UNION CARBIDE CORP,UCAR SOLUTION VINYL RESINS
4901,I,II,3/10/1983,KONGO CHEMICAL CO LTD,L- CARNITINE HYDROCHLORIDE
4902,I,II,3/14/1983,FINE CHEMICALS CORP PTY LTD,THIORIDAZINE HCL
4903,I,III,3/16/1983,SPARTECH PLASTICS,"COMPOSITE THERMOPLASTIC SHEETS IN PTF,FTP SERIES;MNFG IN MEDFORD, MASS"
4904,I,II,3/28/1983,AH ROBINS CO,"MANUFACTURING SITE, FACILITIES, PERSONNEL, AND GENERAL OPERATING PROCEDURES IN RICHMOND, VIRGINIA."
4905,I,II,3/23/1983,ORGAMOL SA,SOBREROL
4906,I,IV,4/7/1983,MING TAI CHEMICAL CO LTD,MICROCRYSTALLINE CELLULOSE PROCEDURES USE IN THE MANUFACTURING
4907,I,II,4/28/1983,PITMAN-MOORE INC DIV ALLIED ,"PERSONNEL, FACILS & GEN OPERATING PROCEDS WASHINGTON CROSSING NJ PLANT"
4908,I,II,2/15/1983,PFIZER INC,"5-ETHYL-2""-DEOXYURIDINE"
4909,I,II,3/16/1983,SIEGFRIED AG,METHACHOLINE CHL
4910,I,II,3/31/1983,ABBOTT LABORATORIES,"VERAPAMIL AS MNFG IN N.CHICAGO, ILLINOIS"
4911,A,II,4/18/1983,W R GRACE AND CO -CONN,PROCAINAMIDE HYDROCHLORIDE 
4912,I,II,4/20/1983,AYERST LABORATORIES INC DIV AMERICAN HOME PRODUCTS CORP,MYSOLINE (PRIMIDONE) TABLETS
4913,I,II,3/31/1983,MIKART INC,"ATLANTA, GA. PLANT ON MARIETTA BLVD."
4914,I,II,2/15/1983,PFIZER INC,DECARBAZINE
4915,I,II,3/4/1983,ALZA CORP,"OSMET DELIVERY MODULES AS PRODUCED IN THE PALO ALTO, CA. FACILITIES"
4916,I,II,5/16/1983,VITARINE CO INC SUB WEST CHEMICAL PRODUCTS INC,PSEUDOEPHEDRINE HCL 120MG S.R. CAPS
4917,I,II,4/18/1983,KNOLL AG LUDWIGSHAFEN,AMINOPHYLLINE
4918,I,II,5/10/1983,OMNICHEM NV,PROPANETRIOL TRINITRATE 10% WITH LACTOSE
